disease,symptoms
oligospermia,"fatigue, poor appetite with abdominal distension, low sperm motility, dizziness"
lumbar spine fracture,"local pain, tenderness, percussion pain, limited lumbar motion"
intravascular papillary endothelial hyperplasia (ipeh),"diffuse swelling of the skin on the head, subcutaneous tumors on the limbs, diffuse swelling of the skin on the neck, general fatigue, redness of the skin over affected areas, minor local temperature elevation, itchiness around the swollen areas"
lumbar process syndrome,"limited mobility, mild fevers, occasional sharp pains during certain movements, feeling of tightness in the lower back area"
pilomatrix carcinoma,"nodules, pain at the site, skin discoloration around the nodule, rapid growth of the nodule"
chronic persistent glomerulonephritis in children,"proteinuria, edema, child, high blood pressure, foamy urine, weight gain"
hysterical aphonia,"sudden loss of voice, emotional stress, fear of speaking in public, headache"
primary pulmonary tuberculosis in children,"cough, child, respiratory failure, thickened pleura, pleural effusion"
hyperthyroid liver disease,"dysphagia, jaundice, abdominal pain, abdominal distension, irritability, tremor, sleep disturbance"
subacute thyroiditis,"enlarged thyroid, thyroid nodules, female, fatigue, sore throat"
vulvar pruritus,"scratching, swelling, pain during urination, dryness"
secondary dysmenorrhea,"dull pain, dragging pain, female, bloating, constipation, frequent urination"
osgood-schlatter disease,"tibial pain, adolescent knee pain, tenderness, swelling around the knee, difficulty walking, increased pain with activity, relief from symptoms with rest"
vitamin d-dependent rickets,"bone pain, child, irritability, growth delay, difficulty walking"
ultraviolet keratitis,"photophobia, red eyes, a sensation of grittiness, blurry vision"
laryngeal amyloidosis,"hoarseness, dryness, irritating cough, difficulty swallowing, ear pain, voice fatigue, weight loss"
dwarfism,"facial appearance resembles an 'old man', subcutaneous fat deficiency in limbs, emaciation, larger anterior fontanelle"
wound botulism,"diplopia, mild abdominal pain, slight difficulty breathing, fatigue"
mycoplasma infection,"formation of white film at the urethral orifice, cervical erosion, congestion, urinary system infection"
frostbite,"blisters, superficial gangrene, pallor, waxy appearance"
rib fracture,"chest pain, hemoptysis, pain at the fracture site, shallow and rapid breathing, discoloration of the skin, cough, fever"
pinealoma / pineal tumor,"parinaud's syndrome, abducens nerve paralysis, altered pupillary reflexes, disturbances in eye movement"
atrioventricular block,"dizziness, lightheadedness, blurred vision, inability to concentrate, fatigue"
convulsions and seizures,"muscle spasms, confusion, temporary paralysis, loss of consciousness"
primary ciliary dyskinesia,"coughing, impaired ciliary clearance function, purulent sputum, atelectasis"
acute appendicitis in the elderly,"acute abdomen, persistent severe pain in the right upper abdomen radiating to the right shoulder, tenderness in the right lower quadrant, right back pain, elderly, anorexia, mild constipation, elevated white blood cell count"
pseudomonas cepacia pneumonia,"difficulty breathing, pulmonary infection, mild fever, fatigue"
movement disorders,"chorea, generalized muscle tone disorders, swallowing difficulties, unintentional weight loss"
pediatric dilated cardiomyopathy,"tachycardia, difficulty breathing, child, respiratory abnormalities, abdominal pain"
pediatric cirrhosis,"poor appetite, child, weakness, irritability, jaundice"
pediatric emotional disorders,"anxiety, child, tension, frequent urination, fear"
phosgene poisoning,"vomiting, palpitations, abnormal breathing, vertigo, fatigue, expectorating phlegm, chest pain"
sebaceous adenoma,"painless mass on the skin surface, slow growth of the mass, skin texture change around the mass, occasional itchiness"
intracranial hypertension syndrome,"severe headaches, female, transient visual obscurations, tinnitus, dizziness"
pulmonary valve regurgitation,"palpitations, arrhythmia, hepatomegaly, oliguria"
pilonidal cyst,"cyst, pain, redness, fever"
cirrhosis,"loss of appetite, abdominal pain, fatigue, weakness"
adolescent kyphosis,"hunched back, narrow and flat thorax, difficulty breathing during exercise, reduced range of motion in shoulders"
tuberculosis of joint,"deformity, general malaise, fatigue, low-grade fever"
laryngeal burn,"pain, wheezing, anxiety, voice changes"
retroperitoneal lymphadenitis,"abdominal pain, fever, abdominal distension, retroperitoneal fibrosis, nausea and vomiting, local tenderness in abdomen"
primary bone lymphoma,"tenderness at the lower end of the sternum, joint pain, reduced appetite, swelling in lymph nodes, fatigue"
renal damage in solid tumors,"renal impairment, decreased glomerular filtration rate, fatigue, loss of appetite, muscle cramps"
fungal infection,"itching, blistering of the skin, cracking skin, redness, burning sensation"
amyloid cardiomyopathy,"edema, shortness of breath after activity, poor r wave progression in the precordial leads, systemic circulatory congestion"
posterior fossa ependymoma,"headache, child, nausea, fatigue, mood swings"
pediatric malnutrition,"constipation, child, anorexia, pallor, muscle atrophy"
cystic tumors and cysts,"cystic swelling, local discomfort, slight pain when touched, skin over the cyst appears normal"
scrub typhus,"headache, fever, swollen lymph nodes, conjunctival suffusion"
restless legs syndrome (rls),"itchiness in the legs, burning sensation, restlessness, depression, impaired social functioning"
unroofed coronary sinus syndrome (ucss),"mild cyanosis, shortness of breath, cold extremities, reduced pulse pressure, wheezing"
gallbladder polyps,"pain in the upper right abdomen, bloating, indigestion, belching"
functional dyspepsia,"belching, nausea, reduced appetite, discomfort in the upper abdomen"
double outlet right ventricle (dorv),"dyspnea, child, sweating, rapid breathing, blue tint to skin (cyanosis)"
elbow ankylosis and fibrous stiffness,"stiffness, ankylosis, muscle wasting around the elbow, joint tenderness, redness over the joint"
type 2 diabetes,"polyuria, fatigue, blurred vision, slow-healing sores"
secondary cutaneous follicle center cell lymphoma,"hepatomegaly, fatigue, night sweats, weight loss"
popliteal artery entrapment syndrome (paes),"intermittent claudication, spasmodic pain, pain after exercise, elevation pallor, dependent rubor"
neonatal coxsackievirus b infection,"fever, newborn, irritability, decreased milk intake, diarrhea"
external ear trauma,"subcutaneous hematoma, tearing, earache, temporary threshold shift, sensation of ear being blocked"
pediatric crohn's disease,"abdominal pain, child, fever, anemia, nutritional disorders"
congenital sensory neuropathy,"extremity ulcers, hair loss in affected areas, decreased reflexes, occasional tingling sensations"
delayed puberty,"absence of menstruation, low energy levels, mood swings, delayed growth spurt"
pregnancy complicated with chronic glomerulonephritis,"anemia in pregnant women, generalized edema in pregnant women, female, breathlessness, pale complexion, cold hands and feet"
sinus tachycardia,"shortness of breath, palpitations, blurry vision, feeling of impending doom"
mixed connective tissue disease (mctd),"skin tightening and thickening, pallor, oral ulcers, livedo reticularis"
dengue fever,"fever with chills, headache, back pain, bleeding, joint pain, nausea, vomiting"
pregnancy complicated by ventricular septal defect,"diastolic blowing murmur, female, fatigue during physical activity, swelling of the ankles or feet, palpitations"
adolescent and pediatric ovarian tumors,"precocious puberty, abdominal mass, abnormal hair growth, acne"
paraplegia,"gradual muscle atrophy, loss, bladder incontinence, heightened reflex activities, muscle stiffness, pressure sores, difficulty managing bowel movements"
fibroma,"normal skin surface, palpable subcutaneous smooth mobile mass, no tenderness, history of similar lesions in family, patient feels self-conscious about the mass, increase in size noted over the last year, located on the upper arm"
wilson-mikity syndrome in newborns,"tachypnea, newborn, intermittent grunting, flaring nostrils, mild retractions"
epidemic typhus,"fever, headache, fatigue, dizziness, nausea and vomiting"
tendinopathy,"localized pain, mild swelling around the tendon, decreased range of motion, pain increases with activity"
endocardial fibroelastosis in children,"respiratory failure, hepatomegaly, child, cyanosis, cold sweats"
diaphragmatic hernia,"dyspnea, cough, mild chest pain, shortness of breath on exertion"
allergic stomatitis,"swelling, difficulty swallowing, slight bleeding on brushing, increased saliva production"
guillain-barré syndrome,"abnormal distal limb sensations such as burning, episodic facial flushing, swelling of hands and feet, nutritional disorders"
rectal intussusception,"anal prolapse, rectal pain, pelvic discomfort, fecal incontinence"
rift valley fever,"high fever, nausea, fatigue, joint pain"
rotavirus gastroenteritis,"diarrhea, vomiting, child, irritability, dehydration"
myotonia congenita,"muscle stiffness, characteristic continuous high frequency discharges on electromyography, difficulty climbing stairs, muscle cramps during exercise, delayed muscle relaxation after exercise"
hypertrophy of the ligamentum flavum,"numbness in hands, tingling sensation in fingers, weak grip strength, occasional arm pain"
acute non-lymphocytic leukemia in the elderly,"anemia, persistent fever, elderly, frequent infections, easy bruising, nosebleeds"
acute ankle ligament injury,"swelling in the front of the ankle, difficulty bearing weight on the affected side, a popping sensation at the time of injury, decreased range of motion"
breast tumor,"breast lump, fatigue, weight loss, slight skin dimpling"
elderly dehydration,"poor skin turgor, elderly, constipation, urinary frequency, lethargy"
machado-joseph disease,"abnormal gait, difficulty swallowing, mild sensory disturbance, fatigue"
peritoneal metastasis cancer,"ascites, loss of appetite, fatigue, nausea and vomiting"
liver tumor,"fatigue, weight loss, pain in the liver area, fever"
chrysiasis,"abnormal pigmentation in exposed areas, mucosal discoloration, irritability, mild depression"
carotid artery stenosis,"blurred vision, headache, dizziness, tinnitus"
orbital teratoma,"proptosis, immobility of the eye, unilateral blindness, visual impairment, child, excessive tearing, eyelid redness, headache"
medullary cystic kidney disease,"pyuria, colic, weight loss, high blood pressure"
electrolyte disorders and acid-base balance,"thirst, limb weakness, dry mouth, increased urination"
pectus excavatum,"depression of the anterior chest wall, arching of the back, retracted shoulders, abdominal protrusion, difficulty breathing on exertion, back pain, poor posture, low self-esteem"
eosinophilia,"fatigue, weight loss, rash, shortness of breath"
varicose veins,"edema, itching, leg pain after standing, restlessness"
spinous process fracture,"tenderness over the spinous process, limited movement of the head and neck, nausea, a feeling of pressure at the base of the skull"
cool dryness,"dry lips, constant dry cough, low-grade fever, sneezing, hoarseness"
diabetic lactic acidosis,"diarrhea, hypothermia, muscle cramps, excessive thirst"
phantom limb pain,"limb functional impairment, emotional distress, muscle stiffness, sleep disturbances"
sea urchin injury and granuloma,"traumatic bleeding, localized pain, swelling, redness"
benign biliary stricture,"jaundice, light-colored urine, general fatigue, itchiness"
organochlorine pesticide poisoning,"headache, fear, sensory disturbances, abdominal pain"
ancylostomiasis duodenitis syndrome,"polyphagia, weight loss, dull stomach pain, abdominal distension, dehydration, rapid heart rate, pale skin"
alcohol-induced dementia,"cognitive dysfunction, memory impairment, anxiety, impaired judgment"
patellar tendon rupture,"trauma to the knee joint, swelling and pain in the anterior inferior side of the knee, inability to walk, extension impairment, discoloration of the skin surrounding the knee, warmth around the joint, difficulty bending the knee"
pediatric congenital testicular hypoplasia,"undeveloped testicles, child, shy, lack of beard, fair skin"
loiasis,"recurrent episodes of skin swelling, mild fever, fatigue, localized redness"
peritoneal perforation hernia,"abdominal pain, abdominal distension, abdominal localized pain, hiccups, indigestion, blood in stool, weight loss"
pediatric astrocytoma,"tremors, child, fatigue, behavioral changes, sleep disturbances"
antimony poisoning,"diarrhea, liver failure, nausea, general malaise, discoloration of the urine"
pediatric chronic subdural hematoma,"syndrome of increased intracranial pressure, elevated intracranial pressure, child, paralysis, weakened or absent abdominal reflex"
renal pelvis tumor,"hematuria, sudden colic, upper abdominal mass, frequent urination with urgency, lower back pain, blood in urine, fever"
severe nosocomial pneumonia,"cough, chest pain, ralles, pulmonary infection"
ocular diseases,"conjunctival hyperemia, corneal ulcer, eye pain, vision loss, foreign body sensation"
abdominal apoplexy syndrome,"shock, vomiting, tenderness in the abdomen, tension in the abdominal muscles"
infectious arthritis,"joint pain, swelling around the joint, warmth around the joint, general malaise"
senile delirium,"paranoia, hallucination, anxiety, insomnia, elderly, fear, tension, psychomotor agitation"
anterior spinal artery syndrome,"motor dysfunction, weakness in the legs, difficulty walking, increased muscle tone"
primary systemic amyloidosis,"skin purpura, macroglossia, fatigue, dysphagia, numbness in hands and feet"
colonic obstruction,"nausea and vomiting, constipation, abdominal tenderness, fever, inability to pass gas"
dysphagia lusoria,"difficulty swallowing, chest pain, regurgitation of food, weight loss"
hereditary coproporphyria,"photosensitivity of the skin, abdominal pain, nausea, confusion"
transient neonatal pustular melanosis,"pustules, newborn, mild irritability, presence of fluid-filled vesicles on closer examination, rapid resolution of pustules leaving behind pigmentation"
persistent junctional reciprocating tachycardia (pjrt),"tachycardia, child, shortness of breath, sweating, anxiety"
tracheitis,"difficulty breathing, sore throat, hoarseness, swollen lymph nodes"
acute suppurative parotitis,"high fever, dry mouth, malaise, mild headache"
steroid-resistant asthma,"airway hyperresponsiveness, breathlessness, cyanosis, stridor, bronchospasm, paradoxical pulse, emotion-induced asthma"
pediatric moya moya disease,"severe headaches, child, transient weakness in one arm, speech difficulties, visual disturbances"
luteal phase deficiency,"frequent menstruation, miscarriage, back pain, nausea"
tuberculous scleritis,"scleral congestion, epiphora, corneal opacity, fever, purulent endophthalmitis, vision impairment, circumcorneal congestion"
nail malnutrition,"fragility of nails, brittle hair, increased nail breakage, mild pain on pressure"
nephroblastoma (wilms tumor),"abdominal pain, hypertension, child, backache, nausea and vomiting"
listeria meningitis,"fever, nausea, irregular breathing, dizziness"
pediatric developmental dysplasia of the hip (ddh),"legs of different lengths, difficulty walking, pain in hips, asymmetrical thigh folds, child, frequent falls, reluctance to walk, waddling gait"
diabetes,"polyphagia, unintentional weight loss, slow healing wounds, numbness in extremities"
ocular disease,"itchy eyes, foreign body sensation in the eye, swollen eyelids, discharge from the eye"
pseudoaneurysm,"tenderness, decreased pulse near the site, bruising, fatigue"
acute renal failure in the elderly,"reduced appetite, elderly, hypertension, drowsiness, arrhythmias"
urinary obstruction,"complicated urinary tract infection, lower abdominal distention, acute urinary retention, hematuria, nausea, vomiting"
femoral artery injury,"arterial bleeding, pain at the site of injury, bruising, swelling"
phlegm retention,"hot phlegm with bad breath, throat discomfort, phlegm-fire obstructing the clear orifices, frothy sputum expulsion"
adrenal medullary hyperplasia,"generalized sweating, abnormal sweating, shortness of breath after activity, vomiting"
rheumatic fever in children,"fever, chorea, loss of appetite, pericarditis, child, abdominal pain, mood swings, anemia"
vertebral artery type cervical spondylosis,"decreased vision, blurred vision, diplopia, visual hallucinations, headache, fatigue, memory problems"
oral and maxillofacial tumors,"indurations, small nodules, dysfunction of adjacent tissues and organs, fatigue, frequent headaches, earache"
pediatric dystonia,"writer's cramp, seizures, child, anxiety, drug poisoning"
intra-atrial block,"palpitations, chest tightness, nausea, increased heart rate"
pediatric iodine deficiency disorder,"reduced intelligence, child, delayed intellectual development, apathetic expression, constipation"
trachoma,"increased eye discharge, sandy appearance of the conjunctiva, tearing, eye pain, dry eyes, eyelid ptosis, red eye"
pulmonary hemorrhage-nephritis syndrome,"pulmonary hemorrhage, hematuria, weakness, dyspnea"
acquired retinoschisis,"flashing lights, mild discomfort in the eye, blurred vision, difficulty adjusting to low light"
chronic cor pulmonale,"expectoration, chest tightness, diminished breath sounds, palpitations"
megaloblastic anemia in the elderly,"diarrhea, elderly, nausea and vomiting, sensory disturbances, elevated red blood cell distribution width"
lipoprotein glomerulopathy,"proteinuria, glomerular enlargement, hyperlipidemic vascular damage, lipid infiltration, fatigue, hypertension, swelling in the face and eyes"
miscarriage,"vaginal bleeding, persistent lower abdominal pain, mild fever, emotional distress"
hematochezia,"blood in stool, constipation, abdominal bloating, anal fissure, straining during bowel movements"
mature teratoma of the ovary,"abdominal pain, abdominal mass, menstrual irregularity, female, vomiting, weight loss, dysuria"
patellar dislocation,"swelling, pain, knee buckling, visible deformation of the knee area, difficulty straightening the knee"
atrioventricular nodal reentrant tachycardia (avnrt),"tachycardia, palpitations, angina, anxiety"
radiculitis,"intercostal neuralgia, pain in lower limbs, shortness of breath, weakness in lower limbs"
pharmaceutical-induced dermatitis,"papulovesicles, intense itching, redness, swelling, warmth over affected area"
sublingual space infection,"swelling and congestion of the sublingual caruncles, fever, difficulty swallowing, mild pain"
chronic renal failure,"loss of appetite, fatigue, muscle cramps, itchiness"
chronic dacryoadenitis,"red eye, epiphora, mild fever, eyelid swelling, discomfort in bright environments"
velopharyngeal insufficiency,"nasal regurgitation of food during swallowing, frequent sinus infections, difficulty swallowing, voice fatigue"
scars,"flat scars, smooth, slight redness, mild discomfort, itching"
toxic autonomously functioning thyroid adenoma,"irritability, hyperhidrosis, anxiety, heat sensitivity"
renal amyloidosis,"nephrotic syndrome, polyuria, acute renal failure, renal concentrating dysfunction"
staphylococcus aureus pneumonia,"fever, chills, leukocytosis, hemoptysis"
blue diaper syndrome in pediatrics,"constipation, child, recurrent infections, pallor, hypercalcemia"
chronic simple traumatic lumbago and sciatica,"pain in the lumbar region accompanied by leg pain, tingling or numbness in the legs or feet, weakness in the lower extremities, pain that worsens at night"
undifferentiated spondyloarthritis,"inflammatory back pain, peripheral arthritis primarily in the lower limbs, enthesopathy, psoriasis, inflammatory bowel disease, uveitis, dactylitis"
congenital pachyonychia,"pigmentation on the axillae, difficulty in nail trimming, rare episodes of skin blistering on hands, mild itching around pigmented areas"
bacterial keratitis,"foreign body sensation in the eye, photophobia, tearing, decreased vision, eye redness, thick discharge, eyelid swelling"
hookworm disease,"anemia, malnutrition, diarrhea, edema, cough, fatigue, fever"
sulfur dioxide poisoning,"eye irritation, tearing, erythematous pharyngitis, rales on chest auscultation"
choroidal neovascularization,"metamorphopsia, decrease in color vividness, slight blurriness at the edges of vision, difficulty reading small print"
polycystic ovary syndrome (pcos),"infertility, reproductive age (15-44), obesity, sleep disturbances, fatigue"
wen nue (warm malaria),"initial fever, chilliness, loss of appetite, mild nausea"
adolescent and pediatric vaginal clear cell carcinoma,"vaginal bleeding, polyps, abnormal bleeding, purulent bloody discharge"
gastric polyps,"upper abdominal pain, bloating, nausea, discomfort in the upper abdomen"
bruxism,"teeth grinding, headache, earache, increased tooth sensitivity"
becker's nevus,"hyperpigmented patch with a clear, irregular border, increased hair growth on the patch, prominent skin texture change within the patch, mild acne formation within the patch, increased sweating in the affected area, asymmetry of the patch over time, sensation of itching"
atlantoaxial osteophyte dysplasia,"cervical pain, fatigue, nausea, hearing loss"
cyanotic congenital heart disease,"fatigue, clubbing of the fingers and toes, child, increased respiratory rate, recurrent respiratory infections, interrupted sleep"
pediatric suppurative otitis media,"fever, restless crying, child, appetite loss, ear pain"
atypical measles syndrome,"petechiae, urticaria, abdominal pain, vesicles"
conjunctival dryness,"eye dryness, photophobia, difficulty wearing contact lenses, blurred vision"
chest wall bone tumor,"chest pain, difficulty breathing, swelling in chest area, limited range of motion in shoulder, mild fever"
genital sore,"swelling of the vulvar skin, soreness, increased sensitivity, mild fever"
perineal hernia,"local pain, strangulating pain, protrusion, difficulty urinating, bloody stool, painful defecation, unwillingness to sit"
intracellular mycobacterium infection,"unexplained fever, decreased immunity, persistent cough, night sweats, weight loss"
gonorrhea,"painful urination, increased sexual drive, erectile dysfunction, testicular pain"
hepatopulmonary syndrome (hps),"cyanosis, orthodeoxia, easy bruising, edema, increased heart rate"
cervical conization,"vaginal bleeding, mild pelvic pain, slight fever, fatigue"
other viral pneumonia,"fever, sore throat, headache, nasal congestion"
epispadias,"urine leakage, urinary incontinence, child, male, incomplete emptying of the bladder, weak urine stream, urinary tract infections"
hydropsy,"increased abdominal circumference, fatigue, decreased appetite, feeling of fullness"
childhood social dysfunction,"mutism, mental disorders, child, social withdrawal, learning difficulties, sensitive to criticism"
steatocystoma,"visible cystic lesions on the face, occasional itching, multiplication over time, family history of similar symptoms"
mania,"elevated mood, increased speech, psychomotor agitation, irritability"
pemphigoid gestationis,"urticarial plaques, nausea, joint pain, headache"
heart failure in elderly,"fatigue, easy tiredness, mild chest discomfort after activities, difficulty breathing, elderly, rapid breathing, skin that appears blue or gray, cold and sweaty skin"
neonatal rickets,"pigeon chest, funnel chest, neonate, growth retardation, leg deformities, bone pain"
epidemic keratoconjunctivitis,"conjunctival congestion, foreign body sensation in the eye, tearing, mild visual impairment"
blue rubber bleb nevus syndrome,"blue rubbery blebs, hematemesis and melena, dizziness, shortness of breath"
developmental delay,"below-average measurements in height, delayed motor development, delayed intellectual development, child, difficulty in adapting to new situations, fearfulness or anxiety, sleep disturbances, difficulty with toilet training"
childhood langerhans cell histiocytosis,"fever, child, bone pain, rash, weight loss"
chronic reflux nephropathy,"bedwetting, characteristic posture during urination, recurrent lower urinary tract infections, morphological changes of the bladder, increased thirst, pain in the abdomen, cloudy or strong-smelling urine"
food allergy-induced asthma,"asthma, coughing, shortness of breath, chest tightness"
symblepharon,"inability to move the eyeball voluntarily, eye irritation, redness of the eye, feeling of a foreign body in the eye"
amblyopia,"blurred vision, unusual head posture, child, frequent tripping or bumping into objects, eye fatigue, sensitivity to light"
whipple's disease,"weight loss, fever, joint pain, cough"
congenital diaphragmatic hernia in newborns,"dyspnea, diaphragmatic defect, newborn, rapid breathing, heart murmur, a tendency to tire easily during feeding"
pediatric splenomegaly,"poor digestion, abnormal sleep, abnormal white blood cells, liver function, child, swollen lymph nodes, joint pain, rash"
syringomyelia,"decreased thermal sensation, diminished pain sensation, increased sweating after exposure to cold, sensory disturbances"
nevus sebaceous,"papules, skin nevus, child, sudden increase in size of the nevus, change in color, bleeding"
trench foot,"ulcers, miliaria, foul odor, heavy sweating, blisters"
chronic lymphadenitis,"lymph node enlargement, fatigue, low-grade fever, night sweats"
optic neuritis,"visual impairment, centripetal narrowing of the visual field, eye pain on pressure, pupil abnormalities, headache, diplopia, nausea"
menorrhagia,"significant increase in menstrual flow, regular menstrual cycle, prolonged duration of bleeding, passing of large blood clots, reproductive age (typically 18-50 years), low blood pressure, rapid heart rate, feeling tired or weak"
malignant vascular endothelioma,"nodules, bruise with surrounding red halo, satellite nodules, abdominal pain, dyspnea, persistent cough, headaches"
aortoenteric fistula,"pulsatile mass, fever, abdominal pain, intestinal dysmotility"
adamantinoma of the long bones,"muscle atrophy, slow growth, joint pain, local swelling, reduced mobility of nearby joint, slight fever, weight loss"
kuru,"tremors, muscle atrophy, emaciation, involuntary movements"
common peroneal nerve injury,"inability to dorsiflex the foot, abnormal gait, foot slap during walking, difficulty climbing stairs, balance issues"
liver blood deficiency,"dizziness, female, dry eyes, menstrual disorders, high blood pressure"
cricopharyngeal achalasia,"choking cough, gurgling breath sounds, weight loss, anxiety, pain upon swallowing"
idiopathic ventricular fibrillation,"syncope, arrhythmia, disturbance of consciousness, lowered ventricular fibrillation threshold"
atrial flutter,"chest pain, dizziness, dyspnea, vertigo, fear"
edwards syndrome in children,"patent ductus arteriosus, child, short neck, corneal opacity, ectropion"
fibrodysplasia ossificans progressiva (fop),"microdactyly of toes, low fever, pain upon touch in the affected area, swelling in the affected areas"
benign salivary gland hypertrophy,"recurrent swelling episodes without pain, diffuse gland enlargement, facial paresthesia, frequent biting of cheek, mild difficulty in speaking"
radiation esophagitis,"chest pain, heartburn, hematemesis, vomiting, difficulty in swallowing, dry mouth, weight loss"
anomalous origin of the coronary artery from the pulmonary artery (acapa),"cold sweats, abnormal breathing, child, excessive crying, poor weight gain, heart murmur"
pharyngeal keratosis,"dry cough, itching, redness in the throat, increased need to clear throat"
vertebral osteochondropathy,"protruding scapulae, pain, occasional headaches, tenderness around the shoulder blades, difficulty performing overhead activities"
type iii hypersensitivity reaction,"elevated body temperature, fatigue, malaise, mild joint pain"
post-cholecystoenterostomy internal hernia,"abdominal pain, vomiting, abdominal distention, cessation of gas, dizziness, rapid weight loss, severe dehydration"
metachromatic leukodystrophy,"microcephaly, involuntary movements, child, hearing loss, difficulty concentrating, feeding difficulties"
pediatric niemann-pick disease,"infant feeding difficulties, child, emaciation, poor appetite, vomiting after eating"
acute diffuse peritonitis,"high fever, nausea, dry mouth, profuse sweating"
opiate addiction,"headache, weight loss, insomnia, constipation"
exophoria,"strabismus, incomplete eyelid closure, dry eyes, eye redness, sensitivity to light"
hereditary factor vii deficiency,"pulmonary embolism, intracranial hemorrhage, nosebleeds, menorrhagia"
genu valgum (knock-knee),"knees touch when standing with feet together, visible gap between ankles when standing straight, child, mild swelling around the knee, occasional knee stiffness"
iatrogenic tracheal and main bronchus injury,"dyspnea, cough, subcutaneous emphysema, sore throat, swelling of neck"
bladder cancer,"painless gross hematuria, frequent urination, pain or burning sensation during urination, pelvic pain"
reye's syndrome,"disorientation, child, irritability, abnormal liver function, diarrhea"
pancreatic tail cancer,"diarrhea, sensation of an abdominal mass, indigestion, changes in bowel habits, anemia"
extraskeletal chondrosarcoma,"pain, darker coloration, muscle weakness near the affected area, localized warmth, swelling without redness"
pediatric hereditary chronic progressive nephritis,"proteinuria, difficulty breathing, child, swelling of feet and ankles, reduced appetite"
dental luxation,"pain, displacement, minor gum bleeding, visible gap formation, increased tooth mobility"
anal eczema,"itching, mild pain, occasional moisture, discomfort during sitting"
pericardial cyst and diverticulum,"shortness of breath, palpitations, chest tightness, mediastinal cysts"
pituitary adenoma in the elderly,"excess endocrine hormones, partial pituitary insufficiency, muscle weakness, changes in menstrual cycle, depression"
vitreous opacity,"shadows in front of eyes, visual impairment, brief flashes of light, eye pain, seeing spots or floaters, noticeable loss of peripheral vision"
hand nerve injury,"appearance of claw hand, loss of motor skills, difficulty in finger extension, pain in the hand, decreased finger coordination"
pediatric drug hypersensitivity,"maculopapular rash, exfoliative dermatitis, anemia, vasculitis, child, fever, itchiness, weakness, rapid pulse"
congenital anorectal malformation,"anal deformity, difficulty defecating, child, bloody stool, failure to thrive, recurrent abdominal pain"
gastrointestinal ulcer,"belching, vomiting, hiccups, feeling full after eating a small amount"
bifascicular block,"syncope, chest pain, shortness of breath, fatigue"
zollinger-ellison syndrome,"difficulty breathing, nausea, weight loss, gastric ulcers"
eosinophilic gastroenteritis,"upper abdominal pain, eczema, fever, loss of appetite"
pediatric nutritional edema,"edema, child, fatigue, reduced urine output, difficulty breathing"
non-organic sexual anhedonia,"lack of sexual pleasure, difficulty achieving orgasm, reduced sexual sensation, lack of interest in sex, depression, anxiety, social withdrawal"
peutz-jeghers syndrome in pediatrics,"abdominal pain, child, vomiting, weight loss, growth retardation"
pulmonary sequestration,"chest pain, abnormal respiration, wheezing, crackles on lung auscultation"
nasal septal hematoma and abscess,"epistaxis, nasal congestion, headache, facial pain"
pediatric leukemoid reaction,"anemia, enlargement of spleen, child, feelings of fullness, frequent infections, bleeding gums"
rickettsia conorii infection,"high fever, rash, muscle pain, headache"
post-traumatic brain syndrome,"inability to concentrate, forgetfulness, personality change, negativity and pessimism"
idiopathic macular epiretinal membrane,"visual distortion, mild blurriness, difficulty reading, trouble with night vision"
distal radial epiphysial separation,"pain, limited wrist joint movement, fork-like deformity of the wrist, history of trauma to the distal radius and wrist, swelling on the dorsum of the wrist, inability to carry objects, feeling of wrist instability"
tinea manuum and tinea pedis,"itching, blisters, scales, fissures in the hands and feet"
benign congenital hypotonia,"unable to lift head, child, feeding difficulties, delayed developmental milestones, difficulty in reaching age-appropriate motor skills"
radiation sickness,"diarrhea, dizziness, shock, decreased appetite"
hemivertebrae,"scoliosis, child, back pain, uneven waist, one hip higher than the other"
diffuse palmoplantar keratoderma,"fissuring of the feet, excessive keratinization of the skin on soles, pain when walking, crack-induced infections, increased callus formation around fissures"
congenital dwarfism syndrome in children,"abnormally short stature, mild intellectual developmental delay, delayed sexual development, child, ptosis, amenorrhea, abnormal palate"
pediatric periodic hyperkalemic paralysis,"hyperkalemia, child, myalgia, absent tendon reflex, bradycardia"
condyloma acuminatum in females,"vulvar pruritus, vulvar pain, vulvar granulation tissue-like skin lesions, fever, malaise, anorexia, weight loss"
osteosarcoma of blood vessels,"local pain, swelling, palpable pulsation of vessels, audible vascular murmurs, limb movement disorders, obvious tenderness, decreased range of motion in the affected limb"
neonatal wet lung,"newborn shortness of breath, newborn, metabolic acidosis, physiological jaundice, sluggish response"
pediatric external ophthalmoplegia-retinitis pigmentosa-cardiac conduction,"impaired ocular movement, poor orientation, vestibular damage, hearing loss"
revision total joint arthroplasty,"pain, deformity, heat at the joint site, stiffness after periods of inactivity"
urinary tract tumor,"papules, inflammatory cell infiltration, night sweats, increased need to urinate at night, blood in urine"
pulmonary hernia,"chest pain, shortness of breath, fatigue, mild fever"
arterial disease,"difficulty breathing, sweating, weakness, swelling in the legs"
perianal and perirectal abscess,"perianal swelling, perianal pain, fever, pus discharge from the swelling, chills, fatigue, difficulty urinating"
proximal humerus epiphysiolysis,"history of shoulder trauma, subcutaneous ecchymosis, child, mild fever, guarding movement of the shoulder, pain on palpation"
temporomandibular joint dislocation,"difficulty in swallowing, inability to close the mouth, muffled voice, drooling, pain while chewing"
